,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.006399393081665039,0.0013567262820288965,0.0637960433959961,0.04207037842927001,1,{'n_neighbors': 1},0.9611111111111111,0.9527777777777777,0.9665738161559888,0.9860724233983287,0.9554317548746518,0.9643933766635715,0.011838424332891945,3
1,0.005599784851074219,0.0004900188328334847,0.04099745750427246,0.003098008255049449,2,{'n_neighbors': 2},0.9611111111111111,0.9666666666666667,0.9693593314763231,0.9777158774373259,0.9610027855153204,0.9671711544413494,0.0061807234218177465,1
2,0.006199932098388672,0.001469697759473687,0.04159731864929199,0.002800032189144562,3,{'n_neighbors': 3},0.9555555555555556,0.9583333333333334,0.9665738161559888,0.9860724233983287,0.9665738161559888,0.966621788919839,0.01067231747344699,2
3,0.006400680541992188,0.0019593624717883984,0.04259657859802246,0.0017436576938512018,4,{'n_neighbors': 4},0.9472222222222222,0.9583333333333334,0.9665738161559888,0.9805013927576601,0.9665738161559888,0.9638409161250386,0.010945532623198,4
4,0.006199932098388672,0.0009797930670330474,0.04719634056091308,0.008446731477119567,5,{'n_neighbors': 5},0.9472222222222222,0.9555555555555556,0.9665738161559888,0.9805013927576601,0.9637883008356546,0.9627282575054161,0.011168537355954218,5
5,0.00579986572265625,0.001166441212317544,0.03919739723205566,0.0024003428330387007,6,{'n_neighbors': 6},0.9444444444444444,0.9583333333333334,0.9665738161559888,0.9749303621169917,0.9526462395543176,0.9593856391210152,0.010612016344327235,7
6,0.007399749755859375,0.0033223886659962372,0.041597175598144534,0.0025764960988334576,7,{'n_neighbors': 7},0.9361111111111111,0.9611111111111111,0.9693593314763231,0.9805013927576601,0.9526462395543176,0.9599458372021046,0.015059089584590093,6
7,0.0053997039794921875,0.0004894927249086743,0.039998102188110354,0.0008946830095326729,8,{'n_neighbors': 8},0.9361111111111111,0.9555555555555556,0.9693593314763231,0.9777158774373259,0.9498607242339833,0.9577205199628598,0.014619892370904846,8
8,0.005400228500366211,0.0012003422209651369,0.03939685821533203,0.0013562763926881667,9,{'n_neighbors': 9},0.9305555555555556,0.9527777777777777,0.9721448467966574,0.9777158774373259,0.9498607242339833,0.9566109563602601,0.01688704976398654,9
9,0.006800222396850586,0.002638171005455898,0.03919682502746582,0.0019392119556319984,10,{'n_neighbors': 10},0.9305555555555556,0.9472222222222222,0.9693593314763231,0.9777158774373259,0.9498607242339833,0.954942742185082,0.01677272752217052,10
